Station ∆,Date,Ave. T. (ºC),Max. T. (ºC),Min. T. (ºC),Prec. (mm),S.L.Press./ Gheopot.,Wind dir,Wind sp. (Km/h),Cloud c.,Snow depth (cm),Insolat. (hours)
SIRJAN,09/01/2024,5.6,19.0,-7.8,0.0,1023.8 Hpa,-,0,0/8,-,-
SIRJAN,08/01/2024,3.8,15.4,-7.8,0.0,1027.0 Hpa,320º(NW),2,0/8,-,-
SIRJAN,07/01/2024,5.0,12.7,-2.8,0.0,1023.0 Hpa,336º(NW),9,0/8,-,-
SIRJAN,06/01/2024,6.7,17.8,-4.5,0.0,1016.7 Hpa,162º(S),6,0/8,-,-
SIRJAN,05/01/2024,6.7,17.4,-4.1,0.0,1018.4 Hpa,-,0,0/8,-,-
SIRJAN,04/01/2024,7.0,14.0,0.0,0.0,1015.8 Hpa,45º(NE),3,2/8,-,-
SIRJAN,03/01/2024,8.8,16.3,1.3,0.0,1013.4 Hpa,156º(SE),11,2/8,-,-
SIRJAN,02/01/2024,8.4,15.8,1.0,0.0,1017.9 Hpa,124º(SE),2,0/8,-,-
SIRJAN,01/01/2024,11.6,18.2,4.9,0.4,1016.3 Hpa,203º(SW),9,3/8,-,-
TABAS,31/01/2024,11.1,16.4,5.8,0.0,1022.9 Hpa,347º(N),5,1/8,-,-
TABAS,30/01/2024,11.3,16.8,5.9,0.0,1021.4 Hpa,344º(N),7,3/8,-,-
TABAS,29/01/2024,12.4,18.5,6.3,0.0,1019.0 Hpa,357º(N),5,0/8,-,-
TABAS,28/01/2024,14.4,18.6,10.2,0.0,1013.0 Hpa,343º(N),7,3/8,-,-
TABAS,27/01/2024,12.8,18.4,7.2,0.4,1010.7 Hpa,33º(NE),2,6/8,-,-
TABAS,26/01/2024,12.4,16.8,8.0,2.9,1016.2 Hpa,216º(SW),4,7/8,-,-
TABAS,25/01/2024,15.5,21.2,9.8,0.0,1013.7 Hpa,332º(NW),5,2/8,-,-
TABAS,24/01/2024,14.7,22.2,7.2,Tr,1012.6 Hpa,117º(SE),3,4/8,-,-
TABAS,23/01/2024,13.1,21.0,5.2,0.0,1019.9 Hpa,3º(N),3,4/8,-,-
TABAS,22/01/2024,13.8,22.5,5.2,0.0,1021.8 Hpa,92º(E),3,1/8,-,-
TABAS,21/01/2024,12.2,19.6,4.8,0.0,1020.4 Hpa,1º(N),2,2/8,-,-
TABAS,20/01/2024,12.3,19.9,4.7,0.0,1022.9 Hpa,138º(SE),4,1/8,-,-
TABAS,19/01/2024,12.8,20.2,5.5,0.0,1020.7 Hpa,336º(NW),4,2/8,-,-
TABAS,18/01/2024,13.3,20.8,5.8,0.0,1019.1 Hpa,117º(SE),3,1/8,-,-
TABAS,17/01/2024,14.1,21.6,6.6,0.0,1017.7 Hpa,98º(E),4,0/8,-,-
TABAS,16/01/2024,15.3,21.3,9.4,0.0,1017.0 Hpa,347º(N),5,1/8,-,9.2
TABAS,15/01/2024,16.4,23.8,9.0,Tr,1014.9 Hpa,111º(E),3,5/8,-,-
TABAS,14/01/2024,15.3,23.3,7.4,0.0,1014.4 Hpa,103º(E),3,2/8,-,-
TABAS,13/01/2024,14.4,23.5,5.3,0.0,1012.3 Hpa,124º(SE),4,1/8,-,-
TABAS,12/01/2024,11.9,18.2,5.7,0.0,1010.8 Hpa,16º(N),3,3/8,-,-
TABAS,11/01/2024,12.4,20.0,4.9,0.0,1015.8 Hpa,65º(NE),4,2/8,-,-
TABAS,10/01/2024,12.9,21.4,4.5,0.0,1016.3 Hpa,105º(E),3,1/8,-,-
TABAS,09/01/2024,10.8,18.6,2.9,0.0,1021.6 Hpa,10º(N),4,1/8,-,-
TABAS,08/01/2024,10.1,17.4,2.8,0.0,1024.6 Hpa,154º(SE),4,1/8,-,-
TABAS,07/01/2024,11.2,15.8,6.5,0.0,1024.5 Hpa,347º(N),9,2/8,-,-
TABAS,06/01/2024,12.9,20.4,5.5,0.0,1016.1 Hpa,16º(N),3,0/8,-,-
TABAS,05/01/2024,13.1,20.3,5.8,0.0,1016.9 Hpa,109º(E),4,0/8,-,-
TABAS,04/01/2024,12.9,19.6,6.3,0.0,1016.0 Hpa,46º(NE),4,2/8,-,-
TABAS,03/01/2024,13.9,20.7,7.1,0.0,1014.5 Hpa,90º(E),3,1/8,-,-
TABAS,02/01/2024,13.8,20.8,6.8,0.0,1020.5 Hpa,37º(NE),3,0/8,-,-
TABAS,01/01/2024,12.9,19.6,6.3,0.0,1020.1 Hpa,112º(E),4,3/8,-,-
TABRIZ,31/01/2024,0.3,2.7,-2.1,0.4,1028.4 Hpa,16º(N),11,7/8,-,-
TABRIZ,30/01/2024,0.0,3.4,-3.4,0.1,1028.3 Hpa,59º(NE),16,6/8,1,-
TABRIZ,29/01/2024,-0.2,2.9,-3.4,0.0,1026.1 Hpa,74º(E),9,6/8,-,-
TABRIZ,28/01/2024,1.6,3.9,-0.8,0.2,1020.4 Hpa,343º(N),12,5/8,-,-
TABRIZ,27/01/2024,2.6,7.3,-2.1,0.2,1011.4 Hpa,333º(NW),11,6/8,-,-
TABRIZ,26/01/2024,-2.8,2.5,-8.1,0.0,1019.6 Hpa,72º(E),8,7/8,4,-
TABRIZ,25/01/2024,-3.9,0.4,-8.1,Tr,1023.8 Hpa,33º(NE),3,7/8,6,-
TABRIZ,24/01/2024,1.1,3.8,-1.6,2.1,1018.4 Hpa,84º(E),12,8/8,2,-
TABRIZ,23/01/2024,4.3,7.5,1.1,10.1,1018.5 Hpa,51º(NE),10,7/8,-,-
TABRIZ,22/01/2024,4.3,10.2,-1.6,1.1,1021.7 Hpa,51º(NE),9,7/8,-,-
TABRIZ,21/01/2024,3.8,9.2,-1.6,0.0,1024.2 Hpa,16º(N),10,4/8,-,-
TABRIZ,20/01/2024,3.0,7.7,-1.6,0.0,1025.4 Hpa,14º(N),9,4/8,-,-
TABRIZ,19/01/2024,3.5,8.4,-1.3,0.0,1024.9 Hpa,31º(NE),9,3/8,-,-
TABRIZ,18/01/2024,3.2,9.2,-2.8,0.0,1025.2 Hpa,16º(N),10,2/8,-,-
TABRIZ,17/01/2024,2.0,7.4,-3.4,0.0,1024.2 Hpa,23º(NE),8,4/8,-,-
TABRIZ,16/01/2024,1.1,6.0,-3.7,0.0,1025.8 Hpa,23º(NE),11,3/8,-,3.2
TABRIZ,15/01/2024,2.4,7.4,-2.6,0.0,1022.7 Hpa,355º(N),8,2/8,-,-
TABRIZ,14/01/2024,2.1,5.1,-0.8,Tr,1014.3 Hpa,297º(NW),15,7/8,-,-
TABRIZ,13/01/2024,3.9,6.6,1.2,5.6,1006.9 Hpa,350º(N),15,7/8,-,-
TABRIZ,12/01/2024,5.3,9.1,1.5,1.6,1007.9 Hpa,240º(SW),13,6/8,-,-
TABRIZ,11/01/2024,5.0,8.4,1.5,3.4,1015.2 Hpa,50º(NE),6,8/8,-,-
TABRIZ,10/01/2024,5.1,10.8,-0.6,0.5,1013.9 Hpa,316º(NW),14,7/8,-,-
TABRIZ,09/01/2024,5.3,11.2,-0.6,Tr,1019.7 Hpa,20º(N),8,6/8,-,-
TABRIZ,08/01/2024,2.4,8.4,-3.7,0.0,1023.7 Hpa,20º(N),9,3/8,-,-
TABRIZ,07/01/2024,1.7,6.4,-3.0,0.0,1029.6 Hpa,47º(NE),9,1/8,-,-
TABRIZ,06/01/2024,5.0,10.0,0.0,1.7,1023.0 Hpa,335º(NW),11,3/8,-,-
TABRIZ,05/01/2024,4.8,13.1,-3.5,9.0,1013.9 Hpa,258º(W),21,7/8,-,-
TABRIZ,04/01/2024,2.1,8.3,-4.1,Tr,1019.9 Hpa,341º(N),8,6/8,-,-
TABRIZ,03/01/2024,3.2,9.1,-2.6,0.0,1018.8 Hpa,358º(N),9,3/8,-,-
TABRIZ,02/01/2024,2.9,8.9,-3.1,0.0,1023.4 Hpa,13º(N),8,5/8,-,-
TABRIZ,01/01/2024,3.6,9.7,-2.4,0.0,1025.5 Hpa,14º(N),8,2/8,-,-
TEHRAN-MEHRABAD,31/01/2024,4.8,8.0,1.6,0.0,1025.4 Hpa,114º(SE),8,6/8,-,-
TEHRAN-MEHRABAD,30/01/2024,5.4,9.3,1.5,0.0,1024.7 Hpa,274º(W),9,4/8,-,-
TEHRAN-MEHRABAD,29/01/2024,5.4,9.5,1.3,0.0,1020.8 Hpa,283º(W),19,3/8,-,-
TEHRAN-MEHRABAD,28/01/2024,6.5,9.0,4.0,0.0,1015.5 Hpa,275º(W),31,4/8,-,-
TEHRAN-MEHRABAD,27/01/2024,7.8,11.0,4.5,5.8,1012.9 Hpa,240º(SW),5,8/8,-,-
TEHRAN-MEHRABAD,26/01/2024,6.5,11.0,2.1,Tr,1015.9 Hpa,145º(SE),5,6/8,-,-
TEHRAN-MEHRABAD,25/01/2024,6.8,12.1,1.4,Tr,1016.2 Hpa,261º(W),13,3/8,-,-
TEHRAN-MEHRABAD,24/01/2024,8.7,11.2,6.1,2.8,1014.8 Hpa,240º(SW),7,6/8,-,-
TEHRAN-MEHRABAD,23/01/2024,9.8,13.4,6.2,6.6,1020.4 Hpa,62º(NE),11,8/8,-,-
TEHRAN-MEHRABAD,22/01/2024,10.3,15.8,4.8,1.4,1018.4 Hpa,228º(SW),9,3/8,-,-
TEHRAN-MEHRABAD,21/01/2024,9.9,14.8,5.0,0.0,1019.1 Hpa,250º(W),8,1/8,-,-
TEHRAN-MEHRABAD,20/01/2024,9.8,14.6,5.0,0.0,1022.3 Hpa,259º(W),7,3/8,-,-
TEHRAN-MEHRABAD,19/01/2024,9.8,14.1,5.6,0.0,1022.3 Hpa,271º(W),5,0/8,-,-
TEHRAN-MEHRABAD,18/01/2024,9.1,12.8,5.3,0.0,1020.3 Hpa,204º(SW),5,4/8,-,-
TEHRAN-MEHRABAD,17/01/2024,9.6,14.9,4.3,0.0,1017.1 Hpa,251º(W),8,2/8,-,-
TEHRAN-MEHRABAD,16/01/2024,10.1,12.7,7.4,0.0,1018.6 Hpa,270º(W),12,1/8,-,9.3
TEHRAN-MEHRABAD,15/01/2024,12.1,14.9,9.3,Tr,1016.1 Hpa,289º(W),12,5/8,-,-
TEHRAN-MEHRABAD,14/01/2024,10.6,13.8,7.4,0.0,1012.8 Hpa,359º(N),6,6/8,-,-
TEHRAN-MEHRABAD,13/01/2024,9.2,12.6,5.8,0.0,1012.0 Hpa,50º(NE),9,6/8,-,-
TEHRAN-MEHRABAD,12/01/2024,8.0,10.0,5.9,1.8,1012.0 Hpa,268º(W),3,7/8,-,-
TEHRAN-MEHRABAD,11/01/2024,11.1,15.4,6.8,7.6,1014.8 Hpa,333º(NW),14,7/8,-,-
TEHRAN-MEHRABAD,10/01/2024,10.1,15.8,4.4,0.0,1014.2 Hpa,243º(SW),15,5/8,-,-
TEHRAN-MEHRABAD,09/01/2024,10.1,17.2,3.0,0.0,1017.7 Hpa,258º(W),15,5/8,-,-
TEHRAN-MEHRABAD,08/01/2024,8.7,14.6,2.7,0.0,1021.9 Hpa,190º(S),2,4/8,-,-
TEHRAN-MEHRABAD,07/01/2024,6.7,12.0,1.4,0.0,1025.2 Hpa,225º(SW),5,0/8,-,-
TEHRAN-MEHRABAD,06/01/2024,9.1,12.1,6.1,0.2,1015.9 Hpa,276º(W),20,4/8,-,-
TEHRAN-MEHRABAD,05/01/2024,9.7,14.6,4.8,0.0,1014.4 Hpa,276º(W),10,3/8,-,-
TEHRAN-MEHRABAD,04/01/2024,10.3,15.2,5.5,0.0,1015.7 Hpa,274º(W),12,1/8,-,-
TEHRAN-MEHRABAD,03/01/2024,9.4,13.9,5.0,0.0,1013.4 Hpa,264º(W),14,4/8,-,-
TEHRAN-MEHRABAD,02/01/2024,9.4,14.3,4.5,0.0,1020.7 Hpa,186º(S),4,2/8,-,-
TEHRAN-MEHRABAD,01/01/2024,9.0,13.4,4.6,0.0,1020.9 Hpa,263º(W),5,2/8,-,-
TORBAT-HEYDARIEH,31/01/2024,2.3,6.8,-2.2,0.0,1026.6 Hpa,74º(E),6,2/8,-,-
TORBAT-HEYDARIEH,30/01/2024,4.1,7.8,0.4,0.0,1023.5 Hpa,32º(NE),13,4/8,-,-
TORBAT-HEYDARIEH,29/01/2024,4.8,9.8,-0.1,0.0,1020.4 Hpa,69º(E),4,4/8,-,-
TORBAT-HEYDARIEH,28/01/2024,6.5,8.4,4.5,8.2,1012.1 Hpa,270º(W),9,5/8,-,-
TORBAT-HEYDARIEH,27/01/2024,4.8,10.9,-1.2,12.7,1012.9 Hpa,81º(E),4,7/8,-,-
TORBAT-HEYDARIEH,26/01/2024,5.0,11.7,-1.8,3.7,1017.8 Hpa,175º(S),5,6/8,-,-
TORBAT-HEYDARIEH,25/01/2024,6.5,8.5,4.5,0.8,1016.0 Hpa,43º(NE),12,6/8,-,-
TORBAT-HEYDARIEH,24/01/2024,6.7,15.5,-2.2,1.9,1014.6 Hpa,160º(S),4,5/8,-,-
TORBAT-HEYDARIEH,23/01/2024,6.0,14.2,-2.3,Tr,1022.8 Hpa,160º(S),1,3/8,-,-
TORBAT-HEYDARIEH,22/01/2024,5.5,13.9,-3.0,0.0,1022.5 Hpa,209º(SW),3,3/8,-,-
TORBAT-HEYDARIEH,21/01/2024,4.9,13.6,-3.8,0.0,1021.3 Hpa,186º(S),3,3/8,-,-
TORBAT-HEYDARIEH,20/01/2024,5.2,13.8,-3.5,0.0,1024.6 Hpa,255º(W),2,0/8,-,-
TORBAT-HEYDARIEH,19/01/2024,5.1,11.9,-1.7,0.0,1022.7 Hpa,65º(NE),8,3/8,-,-
TORBAT-HEYDARIEH,18/01/2024,5.2,13.0,-2.5,0.0,1021.1 Hpa,60º(NE),7,5/8,-,-
TORBAT-HEYDARIEH,17/01/2024,5.7,12.5,-1.2,0.0,1018.1 Hpa,265º(W),6,1/8,-,-
TORBAT-HEYDARIEH,16/01/2024,8.1,14.6,1.5,0.0,1017.5 Hpa,280º(W),4,2/8,-,8.7
TORBAT-HEYDARIEH,15/01/2024,8.2,15.2,1.1,0.0,1016.9 Hpa,12º(N),6,4/8,-,-
TORBAT-HEYDARIEH,14/01/2024,7.5,14.9,0.2,0.0,1016.0 Hpa,241º(SW),5,2/8,-,-
TORBAT-HEYDARIEH,13/01/2024,6.8,13.5,0.1,0.0,1012.7 Hpa,219º(SW),7,2/8,-,-
TORBAT-HEYDARIEH,12/01/2024,6.2,13.5,-1.2,Tr,1010.9 Hpa,250º(W),3,5/8,-,-
TORBAT-HEYDARIEH,11/01/2024,6.2,14.3,-1.9,0.0,1017.3 Hpa,132º(SE),3,4/8,-,-
TORBAT-HEYDARIEH,10/01/2024,5.0,13.2,-3.2,0.0,1018.7 Hpa,226º(SW),6,1/8,-,-
TORBAT-HEYDARIEH,09/01/2024,2.0,11.3,-7.3,0.0,1023.1 Hpa,237º(SW),7,3/8,-,-
TORBAT-HEYDARIEH,08/01/2024,1.6,9.6,-6.3,0.0,1025.4 Hpa,266º(W),4,0/8,-,-
TORBAT-HEYDARIEH,07/01/2024,3.3,8.3,-1.7,Tr,1023.1 Hpa,6º(N),14,5/8,-,-
TORBAT-HEYDARIEH,06/01/2024,5.4,13.2,-2.4,0.0,1016.5 Hpa,234º(SW),7,4/8,-,-
TORBAT-HEYDARIEH,05/01/2024,4.8,11.9,-2.4,0.0,1018.4 Hpa,251º(W),7,1/8,-,-
TORBAT-HEYDARIEH,04/01/2024,4.8,11.4,-1.7,0.0,1016.8 Hpa,320º(NW),1,4/8,-,-
TORBAT-HEYDARIEH,03/01/2024,5.1,11.9,-1.7,0.0,1016.0 Hpa,257º(W),7,4/8,-,-
TORBAT-HEYDARIEH,02/01/2024,5.8,13.1,-1.6,0.0,1020.4 Hpa,69º(E),9,3/8,-,-
TORBAT-HEYDARIEH,01/01/2024,5.0,13.3,-3.2,0.0,1021.5 Hpa,249º(W),6,2/8,-,-
YASOGE,31/01/2024,7.4,13.4,1.4,0.0,1018.7 Hpa,169º(S),8,1/8,-,-
YASOGE,30/01/2024,4.4,11.8,-3.0,0.0,1019.3 Hpa,195º(S),4,6/8,-,-
YASOGE,29/01/2024,4.9,12.6,-2.8,0.0,1021.3 Hpa,150º(SE),2,4/8,-,-
YASOGE,28/01/2024,5.1,9.6,0.6,0.0,1020.1 Hpa,104º(E),5,1/8,-,-
YASOGE,27/01/2024,6.1,9.4,2.8,13.5,1016.3 Hpa,156º(SE),10,8/8,-,-
YASOGE,26/01/2024,6.5,9.8,3.1,29.7,1018.1 Hpa,120º(SE),5,8/8,-,-
YASOGE,25/01/2024,9.5,14.6,4.4,0.0,1018.6 Hpa,183º(S),7,3/8,-,-
YASOGE,24/01/2024,6.2,12.0,0.4,5.9,1020.1 Hpa,110º(E),4,8/8,-,-
YASOGE,23/01/2024,6.9,15.6,-1.8,0.0,1021.8 Hpa,140º(SE),3,4/8,-,-
YASOGE,22/01/2024,8.2,17.0,-0.6,0.0,1023.4 Hpa,145º(SE),3,0/8,-,-
YASOGE,21/01/2024,6.5,14.0,-1.0,0.0,1022.2 Hpa,295º(NW),3,0/8,-,-
YASOGE,20/01/2024,6.7,14.8,-1.4,0.0,1023.0 Hpa,230º(SW),1,1/8,-,-
YASOGE,19/01/2024,6.3,14.4,-1.8,0.0,1021.5 Hpa,325º(NW),4,0/8,-,-
YASOGE,18/01/2024,6.9,15.2,-1.4,0.0,1019.0 Hpa,125º(SE),3,1/8,-,-
YASOGE,17/01/2024,6.7,13.8,-0.4,0.0,1019.1 Hpa,-,0,0/8,-,-
YASOGE,16/01/2024,8.9,13.6,4.2,0.0,1018.9 Hpa,148º(SE),6,2/8,-,8.6
YASOGE,15/01/2024,7.9,12.6,3.2,0.2,1021.5 Hpa,117º(SE),5,6/8,-,-
YASOGE,14/01/2024,7.2,12.4,2.0,3.9,1021.0 Hpa,122º(SE),9,7/8,-,-
YASOGE,13/01/2024,6.8,11.6,2.0,0.0,1019.7 Hpa,109º(E),5,2/8,-,-
YASOGE,12/01/2024,2.9,8.0,-2.2,6.7,1018.7 Hpa,68º(E),5,7/8,-,-
YASOGE,11/01/2024,6.9,15.4,-1.6,0.0,1019.6 Hpa,159º(S),6,2/8,-,-
YASOGE,10/01/2024,7.0,16.2,-2.3,0.0,1021.9 Hpa,137º(SE),3,0/8,-,-
YASOGE,09/01/2024,6.3,17.4,-4.8,0.0,1025.2 Hpa,80º(E),2,2/8,-,-
YASOGE,08/01/2024,5.5,15.8,-4.8,0.0,1028.0 Hpa,76º(E),4,1/8,-,-
YASOGE,07/01/2024,5.6,14.0,-2.8,0.0,1025.3 Hpa,80º(E),1,0/8,-,-
YASOGE,06/01/2024,6.5,15.4,-2.4,0.0,1020.4 Hpa,165º(S),3,0/8,-,-
YASOGE,05/01/2024,6.4,14.6,-1.8,0.0,1020.8 Hpa,140º(SE),5,0/8,-,-
YASOGE,04/01/2024,6.4,12.8,0.0,0.0,1019.1 Hpa,-,0,0/8,-,-
YASOGE,03/01/2024,6.8,13.0,0.6,0.0,1016.8 Hpa,165º(S),4,2/8,-,-
YASOGE,02/01/2024,7.3,14.0,0.6,0.0,1021.1 Hpa,150º(SE),3,2/8,-,-
YASOGE,01/01/2024,5.3,10.0,0.6,4.2,1022.0 Hpa,320º(NW),1,5/8,-,-
YAZD,31/01/2024,8.3,13.0,3.6,0.0,1022.9 Hpa,286º(W),7,1/8,-,-
YAZD,30/01/2024,7.0,11.2,2.9,0.0,1022.7 Hpa,298º(NW),9,4/8,-,-
YAZD,29/01/2024,8.1,12.9,3.3,0.0,1020.2 Hpa,303º(NW),5,2/8,-,-
YAZD,28/01/2024,11.2,16.5,6.0,0.0,1012.8 Hpa,320º(NW),9,0/8,-,-
YAZD,27/01/2024,13.3,20.6,6.1,0.0,1009.9 Hpa,227º(SW),9,2/8,-,-
YAZD,26/01/2024,10.3,15.4,5.3,11.0,1016.3 Hpa,279º(W),7,7/8,-,-
YAZD,25/01/2024,12.7,20.1,5.2,0.0,1012.4 Hpa,284º(W),5,1/8,-,-
YAZD,24/01/2024,13.3,22.4,4.3,0.0,1012.7 Hpa,108º(E),6,5/8,-,-
YAZD,23/01/2024,12.9,22.9,2.9,0.0,1018.5 Hpa,104º(E),8,2/8,-,-
YAZD,22/01/2024,11.4,20.4,2.4,0.0,1021.3 Hpa,142º(SE),5,0/8,-,-
YAZD,21/01/2024,9.5,16.8,2.2,0.0,1020.4 Hpa,242º(SW),5,0/8,-,-
YAZD,20/01/2024,11.4,19.3,3.6,0.0,1021.4 Hpa,142º(SE),9,2/8,-,-
YAZD,19/01/2024,8.9,15.6,2.2,0.0,1022.5 Hpa,277º(W),6,0/8,-,-
YAZD,18/01/2024,9.7,16.9,2.4,0.0,1018.3 Hpa,273º(W),6,2/8,-,-
YAZD,17/01/2024,11.4,19.1,3.7,0.0,1017.4 Hpa,161º(S),5,0/8,-,-
YAZD,16/01/2024,14.1,19.4,8.7,0.0,1017.2 Hpa,293º(NW),9,2/8,-,9.3
YAZD,15/01/2024,16.5,23.3,9.7,0.0,1013.5 Hpa,119º(SE),9,5/8,-,-
YAZD,14/01/2024,15.6,24.0,7.1,0.0,1012.7 Hpa,131º(SE),9,4/8,-,-
YAZD,13/01/2024,13.8,22.3,5.3,0.0,1011.2 Hpa,113º(SE),8,0/8,-,-
YAZD,12/01/2024,12.7,20.5,4.9,0.0,1009.9 Hpa,207º(SW),10,2/8,-,-
YAZD,11/01/2024,12.0,18.9,5.1,0.0,1014.8 Hpa,233º(SW),5,2/8,-,-
YAZD,10/01/2024,15.7,25.4,5.9,0.0,1013.5 Hpa,168º(S),10,2/8,-,-
YAZD,09/01/2024,12.8,22.6,3.0,0.0,1018.8 Hpa,134º(SE),10,2/8,-,-
YAZD,08/01/2024,10.4,18.5,2.3,0.0,1023.3 Hpa,121º(SE),14,0/8,-,-
YAZD,07/01/2024,8.0,13.8,2.2,0.0,1025.5 Hpa,324º(NW),9,1/8,-,-
YAZD,06/01/2024,11.0,19.5,2.5,0.0,1016.2 Hpa,335º(NW),9,0/8,-,-
YAZD,05/01/2024,12.4,20.0,4.9,0.0,1015.7 Hpa,141º(SE),7,0/8,-,-
YAZD,04/01/2024,10.9,17.4,4.4,0.0,1017.1 Hpa,260º(W),7,0/8,-,-
YAZD,03/01/2024,10.6,18.3,2.8,0.0,1013.5 Hpa,146º(SE),3,1/8,-,-
YAZD,02/01/2024,10.2,16.8,3.6,0.0,1020.2 Hpa,135º(SE),7,1/8,-,-
YAZD,01/01/2024,10.8,17.1,4.5,0.2,1020.1 Hpa,279º(W),6,3/8,-,-
ZABOL,31/01/2024,10.7,14.9,6.5,0.0,1024.2 Hpa,345º(N),39,2/8,-,-
ZABOL,30/01/2024,13.8,18.3,9.3,0.0,1019.9 Hpa,348º(N),42,3/8,-,-
ZABOL,29/01/2024,16.0,23.1,8.9,0.0,1016.8 Hpa,336º(NW),19,3/8,-,-
ZABOL,28/01/2024,17.8,28.8,6.7,0.0,1010.6 Hpa,294º(NW),20,1/8,-,-
ZABOL,27/01/2024,15.7,25.0,6.3,0.0,1013.3 Hpa,296º(NW),9,7/8,-,-
ZABOL,26/01/2024,14.4,23.2,5.7,0.0,1016.4 Hpa,13º(N),12,5/8,-,-
ZABOL,25/01/2024,14.9,26.1,3.8,0.0,1014.3 Hpa,25º(NE),14,3/8,-,-
ZABOL,24/01/2024,11.8,22.6,0.9,0.0,1017.4 Hpa,47º(NE),10,5/8,-,-
ZABOL,23/01/2024,11.7,23.7,-0.4,0.0,1022.2 Hpa,288º(W),9,0/8,-,-
ZABOL,22/01/2024,11.6,23.5,-0.4,0.0,1022.3 Hpa,300º(NW),7,0/8,-,-
ZABOL,21/01/2024,11.1,21.8,0.4,0.0,1022.2 Hpa,9º(N),7,0/8,-,-
ZABOL,20/01/2024,13.1,20.5,5.7,0.0,1023.9 Hpa,328º(NW),19,0/8,-,-
ZABOL,19/01/2024,10.8,18.1,3.5,0.0,1021.4 Hpa,351º(N),26,4/8,-,-
ZABOL,18/01/2024,13.7,23.7,3.6,0.0,1019.8 Hpa,4º(N),9,0/8,-,-
ZABOL,17/01/2024,16.1,24.7,7.4,0.0,1017.2 Hpa,358º(N),13,0/8,-,-
ZABOL,16/01/2024,13.8,24.0,3.6,0.0,1016.6 Hpa,354º(N),19,4/8,-,8.9
ZABOL,15/01/2024,13.2,24.3,2.1,0.0,1017.2 Hpa,352º(N),10,4/8,-,-
ZABOL,14/01/2024,11.0,22.9,-0.9,0.0,1018.0 Hpa,355º(N),10,3/8,-,-
ZABOL,13/01/2024,11.8,24.1,-0.4,0.0,1016.1 Hpa,22º(N),8,1/8,-,-
ZABOL,12/01/2024,9.4,20.2,-1.3,0.0,1014.0 Hpa,108º(E),9,4/8,-,-
ZABOL,11/01/2024,9.4,20.9,-2.1,0.0,1019.2 Hpa,19º(N),9,3/8,-,-
ZABOL,10/01/2024,9.1,20.4,-2.2,0.0,1022.6 Hpa,48º(NE),13,1/8,-,-
ZABOL,09/01/2024,9.2,19.0,-0.6,0.0,1025.8 Hpa,81º(E),9,1/8,-,-
ZABOL,08/01/2024,10.9,19.0,2.9,0.0,1025.7 Hpa,271º(W),12,0/8,-,-
ZABOL,07/01/2024,11.1,19.9,2.2,0.0,1021.2 Hpa,352º(N),29,1/8,-,-
ZABOL,06/01/2024,12.2,22.1,2.4,0.0,1018.4 Hpa,72º(E),14,0/8,-,-
ZABOL,05/01/2024,12.6,21.2,4.0,0.0,1019.8 Hpa,234º(SW),7,0/8,-,-
ZABOL,04/01/2024,11.6,19.7,3.5,0.1,1017.1 Hpa,14º(N),14,2/8,-,-
ZABOL,03/01/2024,12.2,20.7,3.8,0.0,1017.3 Hpa,40º(NE),9,1/8,-,-
ZABOL,02/01/2024,11.0,19.7,2.3,0.2,1020.3 Hpa,331º(NW),16,3/8,-,-
ZABOL,01/01/2024,10.9,19.9,1.9,0.1,1021.5 Hpa,8º(N),9,4/8,-,-
ZAHEDAN,31/01/2024,7.7,12.2,3.2,0.0,1021.6 Hpa,11º(N),10,0/8,-,-
ZAHEDAN,30/01/2024,11.9,18.6,5.2,0.0,1017.3 Hpa,30º(NE),12,4/8,-,-
ZAHEDAN,29/01/2024,12.8,19.9,5.6,0.0,1015.1 Hpa,263º(W),12,4/8,-,-
ZAHEDAN,28/01/2024,17.0,20.3,13.7,0.0,1010.3 Hpa,226º(SW),31,4/8,-,-
ZAHEDAN,27/01/2024,16.1,20.2,12.0,0.0,1010.9 Hpa,240º(SW),34,6/8,-,-
ZAHEDAN,26/01/2024,18.7,24.2,13.2,0.0,1011.5 Hpa,221º(SW),23,4/8,-,-
ZAHEDAN,25/01/2024,13.1,24.3,1.9,0.0,1010.2 Hpa,241º(SW),18,3/8,-,-
ZAHEDAN,24/01/2024,11.5,22.5,0.5,0.0,1015.4 Hpa,175º(S),17,5/8,-,-
ZAHEDAN,23/01/2024,10.6,21.4,-0.2,0.0,1021.8 Hpa,142º(SE),12,0/8,-,-
ZAHEDAN,22/01/2024,9.1,18.8,-0.6,0.0,1021.7 Hpa,115º(SE),8,0/8,-,-
ZAHEDAN,21/01/2024,8.9,18.8,-0.9,0.0,1021.0 Hpa,130º(SE),7,1/8,-,-
ZAHEDAN,20/01/2024,8.9,17.0,0.8,0.0,1023.5 Hpa,102º(E),9,1/8,-,-
ZAHEDAN,19/01/2024,7.0,11.9,2.2,5.5,1021.3 Hpa,162º(S),5,4/8,-,-
ZAHEDAN,18/01/2024,10.2,18.2,2.2,0.0,1018.7 Hpa,118º(SE),10,1/8,-,-
ZAHEDAN,17/01/2024,11.9,20.4,3.5,0.0,1016.2 Hpa,120º(SE),9,1/8,-,-
ZAHEDAN,16/01/2024,13.3,22.1,4.6,0.0,1015.6 Hpa,33º(NE),11,2/8,-,8.6
